Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
 american beech, fagus grandifolia, eastern united states," 100-130 ft (30-40 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  45 lbs/ft3 (720 kg/m3)," 1,300 lbf (5,780 n)"," 14,900 lbf/in2 (102.8 mpa)"," 1,720,000 lbf/in2 (11.86 gpa)"," 7,410 lbf/in2 (51.1 mpa)"," radial 5.5%, tangential 11.9%, volumetric 17.2%, t/r ratio 2.2", beech is considered non-durable or perishable; it is also susceptible to insect attack.,"overall good workability; it machines well, and glues, finishes, and turns well. beech also responds superbly to steam-bending. it does, however, have a large amount of movement in service, so movement and wood stability must be taken into account."," lumber, veneer, flooring, crates/pallets, railroad ties, musical instruments, furniture, turned objects, and other small wooden objects."
 european beech, fagus sylvatica, europe," 100-130 ft (30-40 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  44 lbs/ft3 (710 kg/m3)," 1,450 lbf (6,460 n)"," 15,970 lbf/in2 (110.1 mpa)"," 2,075,000 lbf/in2 (14.31 gpa)"," 8,270 lbf/in2 (57.0 mpa)"," radial 5.7%, tangential 11.6%, volumetric 17.3%, t/r ratio 2.0", beech is considered non-durable or perishable; it is also susceptible to insect attack.,"overall good workability; it machines well, and glues, finishes, and turns well. beech also responds superbly to steam-bending. it does, however, have a large amount of movement in service, so movement and wood stability must be taken into account."," lumber, veneer, flooring, boatbuilding, furniture, cabinetry, musical instruments (piano pinblocks), plywood, and turned objects."
 beefwood, grevillea striata, western australia," 30-45 ft (10-14 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 60lbs/ft3 (965 kg/m3)," 2,420 lbf (10,770 n)"," 13,630 lbf/in2 (94.0 mpa)"," 2,030,000 lbf/in2 (14.00 gpa)"," 7,830 lbf/in2 (54.0 mpa)"," radial 3.5%, tangential 5.8%, volumetric 9.3%, t/r ratio 1.7", no data available.," fairly difficult to work because of its high density and tendency to tearout during planing. beefwood turns, glues, and finishes well."," inlay, marquetry, turned objects, and other small specialty items."
 beli, julbernardia pellegriniana," africa (cameroon, gabon)"," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 48lbs/ft3 (770 kg/m3)," 1,480 lbf (6,580 n)"," 19,540 lbf/in2 (134.8 mpa)"," 2,334,000 lbf/in2 (16.09 gpa)"," 9,740 lbf/in2 (67.2 mpa)"," radial 4.4%, tangential 9.2%, volumetric 13.7%, t/r ratio 2.1"," rated as moderately durable, with moderate resistance to insect attack."," generally easy to work with hand and machine tools, though tearout can occur on sections with interlocked grain. beli is considered to be somewhat unstable in service, with high movement. the wood will also react with ferrous metals, developing stains and discolorations when in contact with iron. glues and finishes well."," cabinetry, veneer, flooring, and interior millwork."
"ebiara, berlinia, poculi, red zebrawood","berlinia spp. (b. auriculata, b.bracteosa, b.confusa, and b. grandiflora)",west africa,"100-130 ft (30-40 m) tall, 3-5 ft (1-1.5 m) trunk diameter",45 lbs/ft3 (725 kg/m3),"1,280 lbf (5,690 n)","15,890 lbf/in2 (109.6 mpa)","1,616,000 lbf/in2 (11.14 gpa)","8,040 lbf/in2 (55.4 mpa)"," radial 4.7%, tangential 8.7%, volumetric 13.2%, t/r ratio 1.9","varies with species, but is generally rated as moderately durable; good insect resistance, though sapwood is vulnerable to ambrosia and powder post beetles.","generally easy to work with hand or machine tools, though planing or surfacing interlocked grain may result in tearout, particularly on quartersawn surfaces. glues, turns, and finishes well.","veneer, furniture, cabinetry, turned objects, and other small speciality wood items."
 alaska paper birch, betula neoalaskana, alaska and northern canada," 50-65 ft (15-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter",38lbs/ft3 (610 kg/m3)," 830 lbf (3,690 n)"," 13,600 lbf/in2 (93.8 mpa)"," 1,900,000 lbf/in2 (13.10 gpa)"," 7,450 lbf/in2 (51.4 mpa)"," radial 6.5%, tangential 9.9%, volumetric 16.7%, t/r ratio 1.5"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
 alder-leaf birch, betula alnoides," burma, india, and nepal"," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 33 lbs/ft3 (530 kg/m3)," 830 lbf (3,690 n)"," 8,980 lbf/in2 (61.9 mpa)"," 1,235,000 lbf/in2 (8.52 gpa)"," 6,400 lbf/in2 (44.1 mpa)"," radial 5.0%, tangential 7.0%, volumetric 13.0%, t/r ratio 1.4"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
,,,,,,,,,,,,
" downy birch, european white birch", betula pubescens," northern europe, asia, iceland, and greenland"," 33-65 ft (10-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter",39lbs/ft3 (625 kg/m3)," 930 lbf (4,140 n)*"," 17,760 lbf/in2 (122.5 mpa)"," 1,745,000 lbf/in2 (12.03 gpa)",no data available," radial 6.0%, tangential 10.0%, volumetric 16.0%, t/r ratio 1.7"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
 gray birch, betula populifolia, northeastern north america," 20-40 ft (6-12 m) tall, 1 ft (.3 m) trunk diameter", 35 lbs/ft3 (560 kg/m3)," 760 lbf (3,380 n)"," 9,800 lbf/in2 (67.6 mpa)"," 1,150,000 lbf/in2 (7.93 gpa)"," 4,870 lbf/in2 33.6- mpa)"," radial 5.2%, tangential 9.5%, volumetric 14.7%, t/r ratio 1.8"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
,,,,,,,,,,,,
,,,,,,,,,,,,
 paper birch, betula papyrifera, northern and central north america," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",38lbs/ft3 (610 kg/m3)," 910 lbf (4,050 n)"," 12,300 lbf/in2 (84.8 mpa)"," 1,590,000 lbf/in2 (10.97 gpa)"," 5,690 lbf/in2 (39.2 mpa)"," radial 6.3%, tangential 8.6%, volumetric 16.2%, t/r ratio 1.4"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
 river birch, betula nigra, eastern united states," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 37 lbs/ft3 (590 kg/m3)," 970 lbf (4,320 n)*", no data available, no data available,no data available," radial 4.7%, tangential 9.2%, volumetric 13.5%, t/r ratio 2.0"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
 silver birch, betula pendula, europe and southwest asia," 65-100 ft (20-30 m) tall, 1-2 ft (.3-.6 m) trunk diameter",  40 lbs/ft3 (640 kg/m3)," 1,210 lbf (5,360 n)"," 16,570 lbf/in2 (114.3 mpa)"," 2,024,000 lbf/in2 (13.96 gpa)",no data available,no data available," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
 sweet birch, betula lenta, northeastern north america," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",46lbs/ft3 (735 kg/m3)," 1,470 lbf (6,540 n)"," 16,900 lbf/in2 (116.6 mpa)"," 2,170,000 lbf/in2 (14.97 gpa)"," 8,540 lbf/in2 (58.9 mpa)"," radial 6.5%, tangential 9.0%, volumetric 15.6%, t/r ratio 1.4"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
 yellow birch, betula alleghaniensis, northeastern north america," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",  43 lbs/ft3 (690 kg/m3)," 1,260 lbf (5,610 n)"," 16,600 lbf/in2 (114.5 mpa)"," 2,010,000 lbf/in2 (13.86 gpa)"," 8,170 lbf/in2 (56.3 mpa)"," radial 7.3%, tangential 9.5%, volumetric 16.8%, t/r ratio 1.3"," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items."
" african blackwood, mpingo (swahili)", dalbergia melanoxylon, dry savanna regions of central and southern africa," 20-30 ft (6-9 m) tall, 2-3 ft (.6-1.0 m) trunk diameter","79lbs/ft3 (1,270 kg/m3)","3,670 lbf (16,320 n)"," 30,970 lbf/in2 (213.6 mpa)"," 2,603,000 lbf/in2 (17.95 gpa)"," 10,570 lbf/in2 (72.9 mpa)"," radial 2.9%, tangential 4.8%, volumetric 7.7%, t/r ratio 1.7"," heartwood is rated as very durable in regards to decay resistance, though only moderately resistant to insect attack. the sapwood is commonly attacked by powder-post beetles and other borers."," very difficult to work with hand or machine tools, with an extreme blunting effect on cutters. african blackwood is most often used in turned objects, where it is considered to be among the very finest of all turning woodscapable of holding threads and other intricate details well. when made into clarinet or oboe bodies, the wood is typically processed on metal-working equipment, giving it a reputation as being metal-like in some of its working properties."," musical instruments (guitars, clarinets, oboes, etc.), inlay, carving, tool handles, and other turned objects."
" australian blackwood, tasmanian blackwood, acacia blackwood", acacia melanoxylon," native to tasmania and eastern australia; also introduced to africa, south america, and southern asia"," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 40 lbs/ft3 (640 kg/m3)," 1,160 lbf (5,180 n)"," 15,020 lbf/in2 (103.6 mpa)"," 2,148,000 lbf/in2 (14.82 gpa)","7,770 lbf/in2 (53.6 mpa)"," radial 3.9%, tangential 7.9%, volumetric 11.9%, t/r ratio 2.0"," rated as moderately durable regarding decay resistance, though susceptible to insect attack."," australian blackwood is easily worked with both hand and machine tools, though figured wood and pieces with interlocked grain can cause tearout. australian blackwood turns, glues, stains, and finishes well.responds well to steam bending."," veneer, furniture, cabinetry, musical instruments, gunstocks, turned objects, and other specialty wood objects."
"burmese blackwood, khamphi rosewood, laos rosewood",dalbergia cultrata,southeast asia,"65-100 ft (20-30 m) tall, 1-1.6 ft (.3-.5 m) trunk diameter","65 lbs/ft3 (1,040 kg/m3)","3,350 lbf (14,900 n)",no data available,no data available,no data available, no data available,"no data available, though being a dense rosewood, its most likely very durable. resistant to termites."," may be difficult to work on account of its density. being in the dalbergia genus, gluing precautions should be observed. turns and finishes well, and able to take a high polish."," turned objects, carvings, furniture, inlay, musical instruments (percussion), and small specialty wood items."
malaysian blackwood,diospyros ebonasea*,"<span style=""line-height 19px;""> endemic to malaysia</span>", no data available,"72lbs/ft3(1,155 kg/m3)","3,180lbf(14,140 n)*",no data available,no data available,no data available,no data available, no data available; most likely very durable like other true ebonies in the diospyros genus.,"tends to be rather difficult to work, due to its high density, blunting effect on cutters. the wood is also prone to checking and splitting during drying, and drying defects are not uncommon. tends to be difficult to steam bend. turns well.","acoustic guitars, turned objects, knife handles, and inlay."
" bloodwood, satine"," <span style=""line-height 19px;"">brosimum rubescens (syn. b. paraense)</span>", tropical south america," 80-150 ft (25-45 m) tall, 4-7 ft (1.2-2.1 m) trunk diameter"," 66 lbs/ft3 (1,050 kg/m3)","2,900 lbf (12,900 n)"," 25,290 lbf/in2 (174.4 mpa)"," 3,013,000 lbf/in2 (20.78 gpa)"," 14,310 lbf/in2 (98.7 mpa)","radial 4.6%, tangential 7.0%, volumetric 11.7%, t/r ratio 1.5"," reported to be very durable, and resistant to most insect attacks."," bloodwood is extremely dense, and has a pronounced blunting effect on cutters. the wood tends to be brittle and can splinter easily while being worked. those persistent enough to bear with the difficulties of working with bloodwood to the finishing stage are rewarded with an exceptional and lustrous red surface.","carvings, trim, inlays, furniture, guitars, knife handles, and turned objects."
red bloodwood,corymbia gummifera,coastal areas of eastern australia,"65-100 ft (20-30 m) tall, 3-4 ft (1-1.2 m) trunk diameter",54 lbs/ft3 (865 kg/m3),"2,450 lbf (10,910 n)","14,380 lbf/in2 (99.1 mpa)","1,860,000 lbf/in2 (12.83 gpa)","8,480 lbf/in2 (58.5 mpa)"," radial ~3%, tangential ~6%, volumetric ~9%", no data available., no data available., no data available.
